"","d","n","SensitivityAC","SensitivityMST","DelayAC","DelayMST"
"1",1,10,0.32,0.28,42.6875,43.9285714285714
"2",1,20,0.43,0.48,30.8139534883721,23.5833333333333
"3",1,30,0.57,0.65,17.9122807017544,30.5846153846154
"4",1,40,0.74,0.48,8.81081081081081,24.7916666666667
"5",1,50,0.9,0.84,14.5555555555556,27.4880952380952
"6",1,60,0.94,0.28,11.7872340425532,9.60714285714286
"7",1,70,1,0.53,16.53,16.0188679245283
"8",1,80,0.99,0.99,23.6060606060606,39.5555555555556
"9",1,90,1,0.92,23.88,22.7391304347826
"10",1,100,1,0.98,32.83,32.469387755102
"11",10,10,0.31,0.27,47,56.3703703703704
"12",10,20,0.3,0.23,16.4333333333333,36.7826086956522
"13",10,30,0.6,0.22,12.4333333333333,32
"14",10,40,0.89,0.44,13.8651685393258,26.4318181818182
"15",10,50,0.95,0.42,13.2736842105263,17.8809523809524
"16",10,60,0.98,0.81,16.734693877551,21.2345679012346
"17",10,70,0.99,0.73,16.5959595959596,15.9178082191781
"18",10,80,1,0.85,20.79,21.6352941176471
"19",10,90,1,0.96,26.58,21.1041666666667
"20",10,100,1,1,36.66,38.89
"21",50,10,0.13,0.15,66.5384615384615,58.9333333333333
"22",50,20,0.33,0.37,34.6969696969697,47.8108108108108
"23",50,30,0.7,0.44,26.3571428571429,38.3636363636364
"24",50,40,0.72,0.27,8.34722222222222,26.8888888888889
"25",50,50,0.88,0.51,8.82954545454546,21.5686274509804
"26",50,60,0.98,0.51,13.3979591836735,15.5490196078431
"27",50,70,1,0.52,17.76,22.1730769230769
"28",50,80,1,0.73,19.2,23.8082191780822
"29",50,90,1,0.78,27.07,17.474358974359
"30",50,100,1,1,32.69,30.15
"31",100,10,0.24,0.25,46.5416666666667,51.4
"32",100,20,0.24,0.21,21.2916666666667,37.9047619047619
"33",100,30,0.38,0.27,22.7631578947368,39.2962962962963
"34",100,40,0.7,0.49,14.2714285714286,28.1836734693878
"35",100,50,0.91,0.47,9.98901098901099,27.2978723404255
"36",100,60,0.98,0.47,13.2448979591837,19.2553191489362
"37",100,70,0.99,0.79,15.010101010101,26.0379746835443
"38",100,80,1,0.91,19.85,15.8791208791209
"39",100,90,1,0.83,26.26,23.6746987951807
"40",100,100,1,0.96,31.12,25.2916666666667
"41",300,10,0.18,0.27,40.6666666666667,42.7037037037037
"42",300,20,0.19,0.28,39.2105263157895,48.4642857142857
"43",300,30,0.38,0.37,15.8684210526316,27.1351351351351
"44",300,40,0.59,0.29,16.2372881355932,41.1034482758621
"45",300,50,0.77,0.45,14.6623376623377,30.0888888888889
"46",300,60,0.95,0.45,15.1789473684211,21.7111111111111
"47",300,70,0.99,0.67,15.7777777777778,25.2388059701493
"48",300,80,1,0.77,19.19,26.038961038961
"49",300,90,1,0.61,23.96,16.983606557377
"50",300,100,1,1,33.48,30.37
"51",500,10,0.18,0.24,47.2222222222222,39.8333333333333
"52",500,20,0.3,0.23,33.7333333333333,41.0869565217391
"53",500,30,0.45,0.28,25.8444444444444,40.9642857142857
"54",500,40,0.55,0.38,14.9454545454545,28.8421052631579
"55",500,50,0.83,0.33,19.0722891566265,30.3636363636364
"56",500,60,0.94,0.34,10.1063829787234,32.1176470588235
"57",500,70,0.96,0.55,11.7916666666667,20.4909090909091
"58",500,80,0.99,0.65,18.4343434343434,26.6615384615385
"59",500,90,1,0.95,23.38,25.9052631578947
"60",500,100,1,0.97,30.86,27.2164948453608
