"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST","Alarm_AC","Alarm_MST"
"1",1,0.994,0.503,0.994,0.503,NA,NA,76.9114688128773,77.3578528827038
"2",10,1,0.572,1,0.572,NA,NA,73.143,81.4737762237762
"3",50,0,0,0,0,0,0,0,0
"4",100,0,0,0,0,0,0,0,0
"5",300,0,0,0,0,0,0,0,0
"6",500,0,0,0,0,0,0,0,0
