"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0,0,0,0,0,0
"2",10,0,0,0,0,0,0
"3",50,0,0,0,0,0,0
"4",100,0.942,0.921,1,1,0.118852459016393,0.161885245901639
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
