"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0,0,0,0,0,0
"2",10,0,0,0,0,0,0
"3",50,0.955,0.762,0.997979797979798,0.652525252525253,0.0871287128712871,0.130693069306931
"4",100,0,0,0,0,0,0
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
