"","d","n","SensitivityAC","SensitivityMST","DelayAC","DelayMST"
"1",1,10,0.267,0.268,46.876404494382,45.839552238806
"2",1,20,0.404,0.414,29.6509900990099,32.1908212560386
"3",1,30,0.531,0.599,17.9058380414313,32.0133555926544
"4",1,40,0.718,0.428,10.2757660167131,23.5140186915888
"5",1,50,0.881,0.797,14.738933030647,28.9372647427854
"6",1,60,0.949,0.354,13.6838777660695,14.2090395480226
"7",1,70,0.975,0.529,16.8153846153846,14.9187145557656
"8",1,80,0.997,0.98,24.8445336008024,37.4408163265306
"9",1,90,1,0.875,25.449,24.6045714285714
"10",1,100,1,0.959,34.01,32.237747653806
"11",10,10,0.27,0.26,44.762962962963,48.6076923076923
"12",10,20,0.329,0.223,28.516717325228,38.1434977578475
"13",10,30,0.585,0.267,11.7282051282051,24.3520599250936
"14",10,40,0.814,0.436,17.9238329238329,28.2316513761468
"15",10,50,0.902,0.405,12.3647450110865,23.2493827160494
"16",10,60,0.981,0.766,16.2711518858308,22.0104438642298
"17",10,70,0.996,0.747,16.8052208835341,18.8353413654618
"18",10,80,0.998,0.832,19.4869739478958,17.6586538461538
"19",10,90,1,0.905,26.78,21.185635359116
"20",10,100,1,0.999,35.715,37.3653653653654
"21",50,10,0.174,0.188,42.7471264367816,45.7340425531915
"22",50,20,0.348,0.327,31.5287356321839,43.8715596330275
"23",50,30,0.631,0.426,24.3407290015848,37.4741784037559
"24",50,40,0.773,0.311,10.2729624838292,24.7588424437299
"25",50,50,0.898,0.493,11.3986636971047,24.5720081135903
"26",50,60,0.97,0.452,13.1175257731959,17.6991150442478
"27",50,70,0.997,0.478,17.3981945837513,23.4560669456067
"28",50,80,0.999,0.803,20.1381381381381,20.1382316313823
"29",50,90,1,0.784,26.286,18.5637755102041
"30",50,100,1,0.988,33.774,28.8451417004049
"31",100,10,0.269,0.226,47.182156133829,47.5265486725664
"32",100,20,0.223,0.221,27.9641255605381,45.0407239819005
"33",100,30,0.443,0.312,17.3544018058691,35.9198717948718
"34",100,40,0.701,0.384,13.6162624821683,27.171875
"35",100,50,0.895,0.476,10.7430167597765,28.859243697479
"36",100,60,0.968,0.494,12.0526859504132,20.0728744939271
"37",100,70,0.998,0.783,14.9448897795591,21.1379310344828
"38",100,80,0.998,0.871,19.8627254509018,21.9001148105626
"39",100,90,1,0.788,25.35,19.6040609137056
"40",100,100,1,0.981,32.994,27.0581039755352
"41",300,10,0.207,0.241,49.6135265700483,48.3319502074689
"42",300,20,0.31,0.26,35.9903225806452,41.2269230769231
"43",300,30,0.366,0.368,18.3360655737705,34.2554347826087
"44",300,40,0.645,0.333,11.568992248062,33.6486486486486
"45",300,50,0.809,0.441,12.2892459826947,30.3265306122449
"46",300,60,0.953,0.527,12.8415529905561,24.1537001897533
"47",300,70,0.988,0.65,15.5354251012146,23.7415384615385
"48",300,80,0.998,0.745,17.5390781563126,23.1503355704698
"49",300,90,1,0.68,23.972,19.3382352941176
"50",300,100,1,0.992,33.307,31.1713709677419
"51",500,10,0.247,0.275,45.331983805668,47.4763636363636
"52",500,20,0.269,0.243,34.0074349442379,38.1069958847737
"53",500,30,0.47,0.306,26.4127659574468,37.1111111111111
"54",500,40,0.565,0.314,13.6743362831858,31.1624203821656
"55",500,50,0.825,0.423,17.0921212121212,34.2387706855792
"56",500,60,0.92,0.381,11.8695652173913,25.0367454068241
"57",500,70,0.966,0.539,11.6097308488613,21.4397031539889
"58",500,80,0.995,0.671,18.6623115577889,29.5812220566319
"59",500,90,0.998,0.918,23.8006012024048,24.8540305010893
"60",500,100,1,0.958,31.437,28.6816283924843
