"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0,0,0,0,0,0
"2",10,0,0,0,0,0,0
"3",50,0,0,0,0,0,0
"4",100,0.95,0.644,1,0.435387673956262,0.100603621730382,0.144869215291751
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
