"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0.648,0.614,0.385542168674699,0.339357429718876,0.0916334661354582,0.113545816733068
"2",10,0,0,0,0,0,0
"3",50,0,0,0,0,0,0
"4",100,0,0,0,0,0,0
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
