"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0,0,0,0,0,0
"2",10,0.954,0.729,1,0.55761316872428,0.0894941634241245,0.108949416342412
"3",50,0,0,0,0,0,0
"4",100,0,0,0,0,0,0
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
