,d,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST,FPR_AC,FPR_MST
1,1,0.648,0.614,0.385542169,0.33935743,0.091633466,0.113545817
2,10,0.963,0.946,1,1,0.072978304,0.106508876
3,50,0.956,0.938,1,1,0.088531187,0.124748491
4,100,0.942,0.921,1,1,0.118852459,0.161885246
5,300,0.961,0.965,1,1,0.078629032,0.070564516
6,500,0.964,0.931,1,1,0.069632495,0.133462282
