"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0.627,0.57,0.350378787878788,0.204545454545455,0.0635593220338983,0.0211864406779661
"2",10,0,0,0,0,0,0
"3",50,0,0,0,0,0,0
"4",100,0,0,0,0,0,0
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
