"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0.952,0.702,0.984466019417476,0.516504854368932,0.0824742268041237,0.101030927835052
"2",10,0.926,0.786,1,0.76504854368932,0.152577319587629,0.191752577319588
"3",50,0.891,0.817,1,0.922330097087379,0.224742268041237,0.294845360824742
"4",100,0.855,0.786,1,0.953398058252427,0.298969072164948,0.391752577319588
"5",300,0,0,0,0,0,0
"6",500,0,0,0,0,0,0
