d,n,AccuracyAC,AccuracyMST,SensitivityAC,SensitivityMST
1,15,0.62,0.56,0.29,0.21
 ,30,0.86,0.63,0.80,0.29
 ,100,0.96,0.70,1.00,0.39
10,15,0.63,0.51,0.43,0.19
 ,30,0.90,0.61,0.93,0.33
 ,100,0.93,0.90,1.00,0.88
50,15,0.60,0.53,0.39,0.21
 ,30,0.89,0.58,0.92,0.29
 ,100,0.96,0.88,1.00,0.82
100,15,0.63,0.50,0.36,0.15
 ,30,0.92,0.57,0.91,0.22
 ,100,0.95,0.90,1.00,0.96
500,15,0.56,0.51,0.22,0.15
 ,30,0.86,0.55,0.81,0.18
 ,100,0.94,0.85,1.00,0.97
