"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST"
"1",1,0,0,0,0,0,0
"2",10,0,0,0,0,0,0
"3",50,0,0,0,0,0,0
"4",100,0,0,0,0,0,0
"5",300,0,0,0,0,0,0
"6",500,0.958,0.729,1,0.57979797979798,0.0831683168316832,0.124752475247525
