"","d","n","SensitivityAC","SensitivityMST","DelayMST","DelayAC"
"1",1,10,0.92,0.92,41.0326086956522,25.7391304347826
"2",1,20,0.97,0.99,22.2828282828283,25.7113402061856
"3",1,30,0.97,0.97,25.5567010309278,19.7319587628866
"4",1,40,0.97,0.98,18.5408163265306,24.7010309278351
"5",1,50,1,0.98,24.8877551020408,22.44
"6",1,60,0.91,0.84,21.6666666666667,17.5604395604396
"7",1,70,1,1,15,13.46
"8",1,80,1,0.99,10.0505050505051,9.92
"9",1,90,1,1,5,5
"10",1,100,0.99,1,0,0.0505050505050505
"11",10,10,1,1,32,34.37
"12",10,20,0.98,0.98,32.5510204081633,28.8979591836735
"13",10,30,0.98,0.98,10.6632653061224,15.1938775510204
"14",10,40,1,1,22.57,25.21
"15",10,50,1,1,19.24,21.01
"16",10,60,1,1,19.9,20
"17",10,70,1,1,15,15
"18",10,80,1,1,10,10
"19",10,90,1,1,5,5
"20",10,100,1,1,0,0
"21",50,10,1,1,33.48,11.91
"22",50,20,1,1,30.22,33.2
"23",50,30,1,1,35,28.69
"24",50,40,1,1,20.1,22.2
"25",50,50,1,1,22.89,23
"26",50,60,1,1,20,20
"27",50,70,1,1,15,15
"28",50,80,1,1,10,10
"29",50,90,1,1,5,5
"30",50,100,1,1,0,0
"31",100,10,1,1,25.85,39
"32",100,20,1,1,29.01,21.63
"33",100,30,1,1,24.95,20.74
"34",100,40,1,1,22.15,25.69
"35",100,50,1,1,23.58,23.69
"36",100,60,1,1,20,20
"37",100,70,1,1,15,15
"38",100,80,1,1,10,10
"39",100,90,1,1,5,5
"40",100,100,1,1,0,0
"41",300,10,1,1,12.63,10.8
"42",300,20,1,1,18.24,36.43
"43",300,30,1,1,24.75,31.64
"44",300,40,1,1,28.46,19.6
"45",300,50,1,1,23.67,23.94
"46",300,60,1,1,20,20
"47",300,70,1,1,15,15
"48",300,80,1,1,10,10
"49",300,90,1,1,5,5
"50",300,100,1,1,0,0
"51",500,10,1,1,41.21,25.97
"52",500,20,1,1,13.62,15.14
"53",500,30,1,1,27.24,26.79
"54",500,40,1,1,18.6,24.21
"55",500,50,1,1,24.14,24.05
"56",500,60,1,1,20,20
"57",500,70,1,1,15,15
"58",500,80,1,1,10,10
"59",500,90,1,1,5,5
"60",500,100,1,1,0,0
