d,1,10,50,100,300,500
P_mean_AC,0.50,0.98,0.98,0.97,0.98,0.98
FPR_AC,0.09,0.07,0.09,0.12,0.08,0.07
P_mean,0.46,0.97,0.97,0.96,0.98,0.96
FPR_MST,0.11,0.11,0.12,0.16,0.07,0.13
