"","d","AccuracyAC","AccuracyMST","SensitivityAC","SensitivityMST","FPR_AC","FPR_MST","Alarm_AC","Alarm_MST"
"1",1,0.368,0.35,0.368,0.35,NA,NA,82.4565217391304,77.6085714285714
"2",10,1,1,1,1,NA,NA,64.236,66.724
"3",50,1,1,1,1,NA,NA,55.727,58.184
"4",100,1,1,1,1,NA,NA,54.265,57.373
"5",300,1,1,1,1,NA,NA,52.407,54.271
"6",500,1,1,1,1,NA,NA,51.885,52.936
