"","d","n","SensitivityAC","SensitivityMST","DelayMST","DelayAC"
"1",1,10,0.91,0.84,43.1190476190476,39.8241758241758
"2",1,20,0.94,0.99,21.5454545454545,17.2872340425532
"3",1,30,1,1,30.18,12.73
"4",1,40,1,1,25.29,17.01
"5",1,50,1,1,24,23.64
"6",1,60,1,0.94,13.5425531914894,19.39
"7",1,70,1,0.99,14.3838383838384,15
"8",1,80,1,1,10,10
"9",1,90,1,1,4.99,5
"10",1,100,1,1,0,0
"11",10,10,0.94,0.94,34.8085106382979,40.6808510638298
"12",10,20,0.99,0.88,12.0681818181818,27.2020202020202
"13",10,30,0.99,0.96,33.2291666666667,32.4444444444444
"14",10,40,1,0.99,14.5858585858586,21.82
"15",10,50,1,1,20.4,18.54
"16",10,60,1,1,19.41,17.96
"17",10,70,1,1,15,15
"18",10,80,1,1,9,10
"19",10,90,1,1,5,5
"20",10,100,1,1,0,0
"21",50,10,0.98,0.93,21.1397849462366,19.4489795918367
"22",50,20,0.95,0.97,23.8144329896907,9.41052631578947
"23",50,30,1,0.96,22.90625,20.15
"24",50,40,1,0.94,18.3404255319149,17.97
"25",50,50,1,1,19.89,12.93
"26",50,60,1,0.98,17.2959183673469,18.51
"27",50,70,1,0.99,8.54545454545454,14.71
"28",50,80,1,1,9.97,10
"29",50,90,1,1,5,5
"30",50,100,1,1,0,0
"31",100,10,0.94,0.94,21.5,19.0531914893617
"32",100,20,0.96,0.96,23.6458333333333,19.3125
"33",100,30,0.97,0.92,15.7826086956522,12.4948453608247
"34",100,40,0.98,0.91,26.0549450549451,24.2142857142857
"35",100,50,1,0.99,21.6262626262626,20.72
"36",100,60,1,1,17.9,18.87
"37",100,70,1,0.99,14.6969696969697,14.87
"38",100,80,1,1,9.33,10
"39",100,90,1,0.99,5.01010101010101,5
"40",100,100,1,1,0,0
"41",300,10,0.98,0.88,23.6136363636364,29.530612244898
"42",300,20,0.99,0.95,3.95789473684211,9.8989898989899
"43",300,30,0.92,0.9,26.1333333333333,6.89130434782609
"44",300,40,1,0.91,19.3076923076923,6.01
"45",300,50,1,0.98,13.3265306122449,13.9
"46",300,60,1,1,12.6,19.2
"47",300,70,1,0.98,13.734693877551,14.95
"48",300,80,1,0.98,10.1122448979592,10
"49",300,90,1,0.99,4.97979797979798,5
"50",300,100,1,1,0,0
"51",500,10,0.96,0.99,32.2424242424242,19.5729166666667
"52",500,20,0.95,0.94,33.7340425531915,14.6
"53",500,30,1,1,29.6,27.41
"54",500,40,0.99,0.87,19.735632183908,18.3636363636364
"55",500,50,1,0.99,22.3939393939394,21.49
"56",500,60,1,0.99,19.0909090909091,17.19
"57",500,70,1,1,14.76,14.89
"58",500,80,1,0.96,9.96875,9.92
"59",500,90,1,1,4.99,5
"60",500,100,1,0.97,0.144329896907216,0
